training_mode,seed,clients_by,calibration_scope,model,client_id,decision_policy,f1,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,health_gap
centralized,42,bearing,adaptive,cnn-ae,test1_bearing1,fuzzy_fault_only_hi75,0.7589199292413471,0.0,0.38850043029259895,0.11883289124668435,0.016547658616291015,0.6982634427287996,0.6817157841125085
centralized,42,bearing,client_specific,cnn-ae,test1_bearing2,hard_val_p95,0.9987354373503377,0.05813953488372093,0.0017211703958691911,0.0034482758620689655,0.11305956231750265,0.9979074566679972,0.8848478943504945
centralized,42,bearing,client_specific,cnn-ae,test1_bearing2,fuzzy_warning_as_alarm_hi50,0.9987354373503377,0.05813953488372093,0.0017211703958691911,0.0034482758620689655,0.11305956231750265,0.9979074566679972,0.8848478943504945
centralized,42,bearing,client_specific,cnn-ae,test1_bearing2,fuzzy_fault_only_hi75,0.9981419146357884,0.03875968992248062,0.003173407917383821,0.0034482758620689655,0.11305956231750265,0.9979074566679972,0.8848478943504945
centralized,42,bearing,pooled,cnn-ae,test1_bearing2,hard_val_p95,0.47262271513657833,0.0,0.690565834767642,0.050557029177718836,0.0,0.3528000984720271,0.3528000984720271
centralized,42,bearing,pooled,cnn-ae,test1_bearing2,fuzzy_warning_as_alarm_hi50,0.47262271513657833,0.0,0.690565834767642,0.050557029177718836,0.0,0.3528000984720271,0.3528000984720271
centralized,42,bearing,pooled,cnn-ae,test1_bearing2,fuzzy_fault_only_hi75,0.44431428332357126,0.0,0.7143932874354562,0.050557029177718836,0.0,0.3528000984720271,0.3528000984720271
centralized,42,bearing,adaptive,cnn-ae,test1_bearing2,hard_val_p95,0.9651852057996827,0.0,0.06728700516351119,0.01363395225464191,0.005685823734835332,0.9431409406284191,0.9374551168935839
centralized,42,bearing,adaptive,cnn-ae,test1_bearing2,fuzzy_warning_as_alarm_hi50,0.9651852057996827,0.0,0.06728700516351119,0.01363395225464191,0.005685823734835332,0.9431409406284191,0.9374551168935839
centralized,42,bearing,adaptive,cnn-ae,test1_bearing2,fuzzy_fault_only_hi75,0.9621814731083759,0.0,0.07288080895008606,0.01363395225464191,0.005685823734835332,0.9431409406284191,0.9374551168935839
centralized,42,bearing,client_specific,cnn-ae,test1_bearing3,hard_val_p95,0.47638149815800246,0.07364341085271318,0.6870159208261618,0.02737400530503979,0.12907131988366086,0.312664995442313,0.18359367555865216
centralized,42,bearing,client_specific,cnn-ae,test1_bearing3,fuzzy_warning_as_alarm_hi50,0.47638149815800246,0.07364341085271318,0.6870159208261618,0.02737400530503979,0.12907131988366086,0.312664995442313,0.18359367555865216
