clients_by,training_mode,calibration_scope,model,decision_policy,round,roc_auc,pr_auc,f1,precision,recall,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,health_gap
bearing,fedbn,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,7,0.693250055317038,0.9930044472070966,0.4750446949048213,0.996999054139815,0.3119755808950086,0.06756394253930714,0.6880244191049915,0.02919093957947563,0.14052445196166882,0.39197635243689527,0.2514519004752265
bearing,fedbn,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,8,0.69286990028073,0.9930129297170968,0.47261409701478957,0.9968810512753002,0.30990255665519223,0.06998642315946219,0.6900974433448078,0.028167436184105277,0.14090768449748234,0.38991128085210924,0.24900359635462688
bearing,fedbn,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,9,0.6939182626931856,0.9930797602531413,0.4719241647409462,0.9970245911718937,0.30931538654618473,0.06560679717952088,0.6906846134538153,0.02860455057171204,0.14009914430138284,0.38982406441567913,0.24972492011429626
bearing,fedbn,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,10,0.6955070280366243,0.9931705941753806,0.47257581452782177,0.9969029129622924,0.3099070388697648,0.06832216528708447,0.6900929611302352,0.030118228092675028,0.14033814004786924,0.390304608829217,0.24996646878134784
bearing,fedbn,pooled,cnn-ae,hard_val_p95,1,0.8061775031752947,0.9954250355461527,0.4626545410875585,0.8738296370592628,0.3631198902753872,0.13095902859895767,0.6368801097246127,0.22140947210396156,0.21290078972045134,0.4215092727040488,0.2086084829835975
bearing,fedbn,pooled,cnn-ae,hard_val_p95,2,0.7578935802371088,0.9945544633653031,0.5904761982267162,0.9980097477369089,0.4235737593230063,0.10119673279901897,0.5764262406769937,0.08043228451143931,0.1623474778880092,0.4877130344479043,0.3253655565598951
bearing,fedbn,pooled,cnn-ae,hard_val_p95,3,0.7406068481598079,0.9940625484695524,0.5628019569231397,0.9974473412903522,0.3944281590648308,0.09131793894801384,0.6055718409351692,0.056624822442577626,0.16026373448810197,0.47517442258771464,0.3149106880996127
bearing,fedbn,pooled,cnn-ae,hard_val_p95,4,0.7024694390245346,0.9931026037252483,0.4977369833702379,0.9969900709887237,0.33204245553643147,0.07666261551263522,0.6679575444635685,0.033170370947949286,0.14602179085021322,0.4145372228507038,0.2685154320004906
bearing,fedbn,pooled,cnn-ae,hard_val_p95,5,0.6968963324014458,0.993005702861188,0.4844475012160789,0.9969436670333603,0.320180274670109,0.07269905400078834,0.679819725329891,0.029622779108518706,0.1437307913183787,0.4022884706115218,0.2585576792931431
bearing,fedbn,pooled,cnn-ae,hard_val_p95,6,0.6936325625835708,0.9929581769118431,0.47909040169553235,0.9970267919937333,0.31550084265633965,0.06819898830639863,0.6844991573436604,0.028771096483640016,0.14115056683163432,0.3955292824770571,0.25437871564542275
bearing,fedbn,pooled,cnn-ae,hard_val_p95,7,0.693250055317038,0.9930044472070966,0.4750446949048213,0.996999054139815,0.3119755808950086,0.06756394253930714,0.6880244191049915,0.02919093957947563,0.14052445196166882,0.39197635243689527,0.2514519004752265
bearing,fedbn,pooled,cnn-ae,hard_val_p95,8,0.69286990028073,0.9930129297170968,0.47261409701478957,0.9968810512753002,0.30990255665519223,0.06998642315946219,0.6900974433448078,0.028167436184105277,0.14090768449748234,0.38991128085210924,0.24900359635462688
bearing,fedbn,pooled,cnn-ae,hard_val_p95,9,0.6939182626931856,0.9930797602531413,0.4719241647409462,0.9970245911718937,0.30931538654618473,0.06560679717952088,0.6906846134538153,0.02860455057171204,0.14009914430138284,0.38982406441567913,0.24972492011429626
bearing,fedbn,pooled,cnn-ae,hard_val_p95,10,0.6955070280366243,0.9931705941753806,0.47257581452782177,0.9969029129622924,0.3099070388697648,0.06832216528708447,0.6900929611302352,0.030118228092675028,0.14033814004786924,0.390304608829217,0.24996646878134784
bearing,fedprox,adaptive,cnn-ae,fuzzy_fault_only_hi75,1,0.6543716566353662,0.9915649514635576,0.37947607524397764,0.9977938538000536,0.25238229704532417,0.01555953010940929,0.7476177029546758,0.1222776054233947,0.10834459508903986,0.3530899688479681,0.24474537375892827
bearing,fedprox,adaptive,cnn-ae,fuzzy_fault_only_hi75,2,0.6831414941683468,0.9931783547729958,0.590457261648549,0.999330367792877,0.44104543172690763,0.014526823391495804,0.5589545682730924,0.04027938713678604,0.09631097567639318,0.4841722659556444,0.38786129027925126
bearing,fedprox,adaptive,cnn-ae,fuzzy_fault_only_hi75,3,0.6869017597518178,0.993209702215535,0.5740443867164459,0.9993900121493207,0.4196249282845668,0.013552508080236824,0.5803750717154331,0.05090240863874245,0.09256164379926164,0.4690991433441598,0.3765374995448982
bearing,fedprox,adaptive,cnn-ae,fuzzy_fault_only_hi75,4,0.6757993225849956,0.9930494541057951,0.5252002400051878,0.9994247609843917,0.3654371952094091,0.012252003678885822,0.6345628047905909,0.042344013984345515,0.09111453756731641,0.41752844553280993,0.3264139079654935
bearing,fedprox,adaptive,cnn-ae,fuzzy_fault_only_hi75,5,0.6759992660757345,0.9930564963721443,0.5210302192533154,0.9994157712848812,0.36069949440619625,0.012221893750273728,0.6393005055938038,0.03957139098341418,0.09059635666496653,0.4123180935152495,0.321721736850283
bearing,fedprox,adaptive,cnn-ae,fuzzy_fault_only_hi75,6,0.6756521656703374,0.9930616612025472,0.520435669698129,0.9994157082615979,0.3599151068559954,0.012030285113651293,0.6400848931440045,0.03845481542842242,0.0904870579009831,0.41113905307894744,0.32065199517796433
bearing,fedprox,adaptive,cnn-ae,fuzzy_fault_only_hi75,7,0.6766438189448419,0.9930789083674313,0.5192222967040194,0.9993892438887046,0.3587116322432587,0.012706389874304733,0.6412883677567413,0.038348162534155045,0.08994561664137861,0.4100216368230957,0.3200760201817171
bearing,fedprox,adaptive,cnn-ae,fuzzy_fault_only_hi75,8,0.6769492395251397,0.9930852112972081,0.5196900466663259,0.9994244686005106,0.3592898379231211,0.011677177769018526,0.6407101620768789,0.03756657753188256,0.0896805229190356,0.41028911373467475,0.32060859081563914
bearing,fedprox,adaptive,cnn-ae,fuzzy_fault_only_hi75,9,0.6774933546085632,0.9931173527700189,0.5208894033994005,0.9994342707960605,0.36057175129087776,0.011707287697630622,0.6394282487091222,0.03772286228122889,0.09001710594835514,0.41168278820008664,0.3216656822517315
bearing,fedprox,adaptive,cnn-ae,fuzzy_fault_only_hi75,10,0.6775670405258755,0.9931289282487031,0.5206661931439993,0.9994308082143858,0.3604350437464143,0.011898896334253055,0.6395649562535858,0.03835623873434318,0.08987494748920492,0.41177512671240174,0.32190017922319686
bearing,fedprox,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,1,0.6543716566353662,0.9915649514635576,0.4509016781491028,0.9971339133277736,0.30811191193344806,0.032963209497244905,0.6918880880665519,0.1222776054233947,0.10834459508903986,0.3530899688479681,0.24474537375892827
bearing,fedprox,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,2,0.6831414941683468,0.9931783547729958,0.6098558014301766,0.9986172106546459,0.46226199440619625,0.03016497687540172,0.5377380055938038,0.04027938713678604,0.09631097567639318,0.4841722659556444,0.38786129027925126
bearing,fedprox,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,3,0.6869017597518178,0.993209702215535,0.5976140941343053,0.9987832483192035,0.4451511402753872,0.02703095850278418,0.5548488597246127,0.05090240863874245,0.09256164379926164,0.4690991433441598,0.3765374995448982
bearing,fedprox,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,4,0.6757993225849956,0.9930494541057951,0.5448623798949253,0.9987061963115877,0.3848474254159495,0.02754237288135593,0.6151525745840505,0.042344013984345515,0.09111453756731641,0.41752844553280993,0.3264139079654935
bearing,fedprox,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,5,0.6759992660757345,0.9930564963721443,0.5399182039011647,0.9987133896573739,0.37918414730349975,0.027320654316121403,0.6208158526965003,0.03957139098341418,0.09059635666496653,0.4123180935152495,0.321721736850283
bearing,fedprox,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,6,0.6756521656703374,0.9930616612025472,0.538720726010301,0.9986637217865701,0.37779241967871485,0.029025971182061055,0.6222075803212851,0.03845481542842242,0.0904870579009831,0.41113905307894744,0.32065199517796433
bearing,fedprox,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,7,0.6766438189448419,0.9930789083674313,0.5374524685783441,0.9987549768338174,0.3764970596672404,0.027249485393947354,0.6235029403327595,0.038348162534155045,0.08994561664137861,0.4100216368230957,0.3200760201817171
bearing,fedprox,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,8,0.6769492395251397,0.9930852112972081,0.5368763723491617,0.9986812823625199,0.3760219449225473,0.029661016949152543,0.6239780550774526,0.03756657753188256,0.0896805229190356,0.41028911373467475,0.32060859081563914
bearing,fedprox,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,9,0.6774933546085632,0.9931173527700189,0.5378614934781335,0.998759696569393,0.3770595775960987,0.02801591994043709,0.6229404224039014,0.03772286228122889,0.09001710594835514,0.41168278820008664,0.3216656822517315
bearing,fedprox,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,10,0.6775670405258755,0.9931289282487031,0.5378450628333185,0.998729552565441,0.37716939185312676,0.02893853013174019,0.6228306081468732,0.03835623873434318,0.08987494748920492,0.41177512671240174,0.32190017922319686
bearing,fedprox,adaptive,cnn-ae,hard_val_p95,1,0.6543716566353662,0.9915649514635576,0.4509016781491028,0.9971339133277736,0.30811191193344806,0.032963209497244905,0.6918880880665519,0.1222776054233947,0.10834459508903986,0.3530899688479681,0.24474537375892827
bearing,fedprox,adaptive,cnn-ae,hard_val_p95,2,0.6831414941683468,0.9931783547729958,0.6098558014301766,0.9986172106546459,0.46226199440619625,0.03016497687540172,0.5377380055938038,0.04027938713678604,0.09631097567639318,0.4841722659556444,0.38786129027925126
bearing,fedprox,adaptive,cnn-ae,hard_val_p95,3,0.6869017597518178,0.993209702215535,0.5976140941343053,0.9987832483192035,0.4451511402753872,0.02703095850278418,0.5548488597246127,0.05090240863874245,0.09256164379926164,0.4690991433441598,0.3765374995448982
bearing,fedprox,adaptive,cnn-ae,hard_val_p95,4,0.6757993225849956,0.9930494541057951,0.5448623798949253,0.9987061963115877,0.3848474254159495,0.02754237288135593,0.6151525745840505,0.042344013984345515,0.09111453756731641,0.41752844553280993,0.3264139079654935
bearing,fedprox,adaptive,cnn-ae,hard_val_p95,5,0.6759992660757345,0.9930564963721443,0.5399182039011647,0.9987133896573739,0.37918414730349975,0.027320654316121403,0.6208158526965003,0.03957139098341418,0.09059635666496653,0.4123180935152495,0.321721736850283
bearing,fedprox,adaptive,cnn-ae,hard_val_p95,6,0.6756521656703374,0.9930616612025472,0.538720726010301,0.9986637217865701,0.37779241967871485,0.029025971182061055,0.6222075803212851,0.03845481542842242,0.0904870579009831,0.41113905307894744,0.32065199517796433
bearing,fedprox,adaptive,cnn-ae,hard_val_p95,7,0.6766438189448419,0.9930789083674313,0.5374524685783441,0.9987549768338174,0.3764970596672404,0.027249485393947354,0.6235029403327595,0.038348162534155045,0.08994561664137861,0.4100216368230957,0.3200760201817171
bearing,fedprox,adaptive,cnn-ae,hard_val_p95,8,0.6769492395251397,0.9930852112972081,0.5368763723491617,0.9986812823625199,0.3760219449225473,0.029661016949152543,0.6239780550774526,0.03756657753188256,0.0896805229190356,0.41028911373467475,0.32060859081563914
bearing,fedprox,adaptive,cnn-ae,hard_val_p95,9,0.6774933546085632,0.9931173527700189,0.5378614934781335,0.998759696569393,0.3770595775960987,0.02801591994043709,0.6229404224039014,0.03772286228122889,0.09001710594835514,0.41168278820008664,0.3216656822517315
bearing,fedprox,adaptive,cnn-ae,hard_val_p95,10,0.6775670405258755,0.9931289282487031,0.5378450628333185,0.998729552565441,0.37716939185312676,0.02893853013174019,0.6228306081468732,0.03835623873434318,0.08987494748920492,0.41177512671240174,0.32190017922319686
bearing,fedprox,client_specific,cnn-ae,fuzzy_fault_only_hi75,1,0.6738578275453411,0.9918749807362227,0.4329138280135194,0.9972116380861302,0.310819169535284,0.0238514127929048,0.689180830464716,0.10681205346328132,0.10964167707358707,0.39329981919745527,0.2836581421238682
bearing,fedprox,client_specific,cnn-ae,fuzzy_fault_only_hi75,2,0.7240506860546674,0.9936655277615997,0.641122513172932,0.9990033564898614,0.5107192161503156,0.026493177650612824,0.48928078384968443,0.05601169902664052,0.10374424400156672,0.5517222502346254,0.44797800623305856
bearing,fedprox,client_specific,cnn-ae,fuzzy_fault_only_hi75,3,0.7232746436939427,0.9935620194279035,0.6460201461372742,0.998902211273821,0.5160889092082616,0.02757940711981774,0.4839110907917384,0.05283000757670925,0.10427262159552937,0.5540464760090829,0.44977385441355344
bearing,fedprox,client_specific,cnn-ae,fuzzy_fault_only_hi75,4,0.7077056882872635,0.9932861825203649,0.6197259492092279,0.9988715714107808,0.4788394650028686,0.028154233029685036,0.5211605349971314,0.059120497790872216,0.10846630295127689,0.5211509634598813,0.4126846605086045
bearing,fedprox,client_specific,cnn-ae,fuzzy_fault_only_hi75,5,0.7047288145306393,0.9932636766671212,0.618788419689996,0.9988314752953847,0.4767328241537579,0.02758898214203179,0.523267175846242,0.05700637152647758,0.10882307723506644,0.5185217934136347,0.40969871617856835
bearing,fedprox,client_specific,cnn-ae,fuzzy_fault_only_hi75,6,0.7035417433802741,0.9932543506679443,0.6199457871644901,0.9988492589601204,0.47809317627653475,0.026909685707306997,0.5219068237234653,0.05544483068777036,0.10916304019127164,0.5190316273659769,0.4098685871747052
bearing,fedprox,client_specific,cnn-ae,fuzzy_fault_only_hi75,7,0.7037119230819515,0.9932813275690561,0.6212706646247912,0.9988811563983524,0.4800025996844521,0.02531416242942181,0.5199974003155479,0.05339097365233525,0.10951434699275571,0.5198395324794213,0.41032518548666547
bearing,fedprox,client_specific,cnn-ae,fuzzy_fault_only_hi75,8,0.7035286108097522,0.9933032632503255,0.6225805678049655,0.9988440680887329,0.4822414658634538,0.02638975659146693,0.5177585341365462,0.05203206450651606,0.10909335688898114,0.5212674628129367,0.4121741059239555
bearing,fedprox,client_specific,cnn-ae,fuzzy_fault_only_hi75,9,0.7035406739954051,0.9932977537774406,0.6242743911104314,0.9988878842152124,0.48447584982788294,0.02531735410349316,0.5155241501721171,0.051287273212950256,0.10984084274187288,0.5229116695589062,0.41307082681703333
bearing,fedprox,client_specific,cnn-ae,fuzzy_fault_only_hi75,10,0.7040618164390063,0.993316013724279,0.6248297138872527,0.9988581047708672,0.4854664192484222,0.025172127523629642,0.5145335807515777,0.051077258292312216,0.1091814807893486,0.5234449254905171,0.41426344470116855
bearing,fedprox,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,1,0.6738578275453411,0.9918749807362227,0.491759047071945,0.9961731891775627,0.36072862880091794,0.05138975009992645,0.6392713711990821,0.10681205346328132,0.10964167707358707,0.39329981919745527,0.2836581421238682
bearing,fedprox,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,2,0.7240506860546674,0.9936655277615997,0.6647617091316503,0.9980477536759057,0.5414560025817556,0.05062044845638957,0.4585439974182444,0.05601169902664052,0.10374424400156672,0.5517222502346254,0.44797800623305856
bearing,fedprox,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,3,0.7232746436939427,0.9935620194279035,0.6687296115194578,0.9978988150286882,0.5452882960413081,0.052566623112757706,0.45471170395869187,0.05283000757670925,0.10427262159552937,0.5540464760090829,0.44977385441355344
