clients_by,training_mode,calibration_scope,model,decision_policy,false_alarm_rate_std,miss_rate_std,uncertain_rate_std,health_gap_std
condition,fedbn-personalized,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.010187115076178987,0.09610340336995396,0.03038186486665245,0.1004077674327413
condition,fedbn-personalized,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,0.015116747938509,0.11221167239286009,0.03038186486665245,0.1004077674327413
condition,fedbn-personalized,client_specific,cnn-ae,hard_val_p95,0.015116747938509,0.11221167239286009,0.03038186486665245,0.1004077674327413
condition,fedprox,adaptive,cnn-ae,fuzzy_fault_only_hi75,0.02185114945202663,0.03988388693287709,0.02993313209623501,0.07342163403946693
condition,fedprox,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,0.046704293246792386,0.029335688612727635,0.02993313209623501,0.07342163403946693
condition,fedprox,adaptive,cnn-ae,hard_val_p95,0.046704293246792386,0.029335688612727635,0.02993313209623501,0.07342163403946693
condition,fedprox,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.005649420732031957,0.10964493156416966,0.031908426501068135,0.10427789119319789
condition,fedprox,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,0.013202354209691817,0.11343803008113883,0.031908426501068135,0.10427789119319789
condition,fedprox,client_specific,cnn-ae,hard_val_p95,0.013202354209691817,0.11343803008113883,0.031908426501068135,0.10427789119319789
condition,fedprox,pooled,cnn-ae,fuzzy_fault_only_hi75,0.03255363962604814,0.0318960687706145,0.035210777471261154,0.06536720653748311
condition,fedprox,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,0.0716866154984188,0.013867505404884805,0.035210777471261154,0.06536720653748311
condition,fedprox,pooled,cnn-ae,hard_val_p95,0.0716866154984188,0.013867505404884805,0.035210777471261154,0.06536720653748311
condition,fedprox-personalized,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.005842836206023773,0.08307580208979923,0.032984322011612804,0.0893033760776096
condition,fedprox-personalized,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,0.013311426243855154,0.09945159833985481,0.032984322011612804,0.0893033760776096
condition,fedprox-personalized,client_specific,cnn-ae,hard_val_p95,0.013311426243855154,0.09945159833985481,0.032984322011612804,0.0893033760776096
condition,local-only,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.006776674706427508,0.10541239565198339,0.029144178853046914,0.09637899467493086
condition,local-only,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,0.010432616839657528,0.11126564808242426,0.029144178853046914,0.09637899467493086
condition,local-only,client_specific,cnn-ae,hard_val_p95,0.010432616839657528,0.11126564808242426,0.029144178853046914,0.09637899467493086
