seed,clients_by,training_mode,round,model,client_id,client_train_count,client_val_count,client_test_normal_count,fault_audit_count,decision_policy,p50,p90,p95,p99,roc_auc,pr_auc,precision,recall,f1,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,health_gap,tn,fp,fn,tp
202,bearing,centralized,20,vae,K001,172,37,36,1956,fuzzy_fault_only_hi75,1.0152357816696167,1.0266316413879395,1.0321586370468139,1.035670428276062,0.7401442853896842,0.9934928814432447,1.0,0.3829243353783231,0.5537892791127541,0.0,0.6170756646216768,0.0642570281124498,0.03623967617901766,0.4380918983433968,0.4018522221643791,36,0,1207,749
202,bearing,centralized,20,vae,K002,172,37,36,1956,hard_val_p95,1.0317769050598145,1.073762798309326,1.0898265361785888,1.1164058589935304,0.4561605316973415,0.9818032015422709,0.9905660377358491,0.05368098159509203,0.10184287099903007,0.027777777777777776,0.946319018404908,0.07178714859437751,0.09304972910533749,0.09000488114190085,-0.0030448479634366393,35,1,1851,105
202,bearing,centralized,20,vae,K002,172,37,36,1956,fuzzy_warning_as_alarm_hi50,1.0317769050598145,1.073762798309326,1.0898265361785888,1.1164058589935304,0.4561605316973415,0.9818032015422709,0.9905660377358491,0.05368098159509203,0.10184287099903007,0.027777777777777776,0.946319018404908,0.07178714859437751,0.09304972910533749,0.09000488114190085,-0.0030448479634366393,35,1,1851,105
202,bearing,centralized,20,vae,K002,172,37,36,1956,fuzzy_fault_only_hi75,1.0317769050598145,1.073762798309326,1.0898265361785888,1.1164058589935304,0.4561605316973415,0.9818032015422709,0.98,0.025051124744376277,0.04885343968095713,0.027777777777777776,0.9749488752556237,0.07178714859437751,0.09304972910533749,0.09000488114190085,-0.0030448479634366393,35,1,1907,49
202,bearing,centralized,20,vae,K003,172,37,37,1956,hard_val_p95,1.0227584838867188,1.0473120212554932,1.0539188861846924,1.0575085735321046,0.6099734704029183,0.9892414853296435,1.0,0.2142126789366053,0.3528421052631579,0.0,0.7857873210633947,0.053186151530356246,0.04405309613124881,0.2557383803270896,0.21168528419584082,37,0,1537,419
202,bearing,centralized,20,vae,K003,172,37,37,1956,fuzzy_warning_as_alarm_hi50,1.0227584838867188,1.0473120212554932,1.0539188861846924,1.0575085735321046,0.6099734704029183,0.9892414853296435,1.0,0.2142126789366053,0.3528421052631579,0.0,0.7857873210633947,0.053186151530356246,0.04405309613124881,0.2557383803270896,0.21168528419584082,37,0,1537,419
202,bearing,centralized,20,vae,K003,172,37,37,1956,fuzzy_fault_only_hi75,1.0227584838867188,1.0473120212554932,1.0539188861846924,1.0575085735321046,0.6099734704029183,0.9892414853296435,1.0,0.20245398773006135,0.336734693877551,0.0,0.7975460122699386,0.053186151530356246,0.04405309613124881,0.2557383803270896,0.21168528419584082,37,0,1560,396
202,bearing,centralized,20,vae,K004,171,37,36,1956,hard_val_p95,1.0261322259902954,1.0608241081237793,1.0684927225112915,1.0805854654312135,0.5704598386730289,0.9875855577349779,1.0,0.1329243353783231,0.23465703971119134,0.0,0.8670756646216768,0.0642570281124498,0.04688804100986155,0.1701233016627618,0.12323526065290025,36,0,1696,260
202,bearing,centralized,20,vae,K004,171,37,36,1956,fuzzy_warning_as_alarm_hi50,1.0261322259902954,1.0608241081237793,1.0684927225112915,1.0805854654312135,0.5704598386730289,0.9875855577349779,1.0,0.1329243353783231,0.23465703971119134,0.0,0.8670756646216768,0.0642570281124498,0.04688804100986155,0.1701233016627618,0.12323526065290025,36,0,1696,260
202,bearing,centralized,20,vae,K004,171,37,36,1956,fuzzy_fault_only_hi75,1.0261322259902954,1.0608241081237793,1.0684927225112915,1.0805854654312135,0.5704598386730289,0.9875855577349779,1.0,0.10378323108384459,0.18805002315886984,0.0,0.8962167689161554,0.0642570281124498,0.04688804100986155,0.1701233016627618,0.12323526065290025,36,0,1753,203
