training_mode,seed,clients_by,calibration_scope,model,client_id,decision_policy,f1,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,health_gap
centralized,42,bearing,pooled,cnn-ae,K005,fuzzy_warning_as_alarm_hi50,0.005099439061703213,0.0,0.9974437627811861,0.008032128514056224,0.0,0.027823071692475415,0.027823071692475415
centralized,42,bearing,pooled,cnn-ae,K005,fuzzy_fault_only_hi75,0.001021972406745018,0.0,0.9994887525562373,0.008032128514056224,0.0,0.027823071692475415,0.027823071692475415
centralized,42,bearing,client_specific,cnn-ae,K006,hard_val_p95,0.0050916496945010185,0.08333333333333333,0.9974437627811861,0.005522088353413655,0.11202199634893467,0.023954009558049168,-0.08806798679088551
centralized,42,bearing,client_specific,cnn-ae,K006,fuzzy_warning_as_alarm_hi50,0.0050916496945010185,0.08333333333333333,0.9974437627811861,0.005522088353413655,0.11202199634893467,0.023954009558049168,-0.08806798679088551
centralized,42,bearing,client_specific,cnn-ae,K006,fuzzy_fault_only_hi75,0.0010214504596527069,0.027777777777777776,0.9994887525562373,0.005522088353413655,0.11202199634893467,0.023954009558049168,-0.08806798679088551
centralized,42,bearing,pooled,cnn-ae,K006,hard_val_p95,0.0050916496945010185,0.08333333333333333,0.9974437627811861,0.010040160642570281,0.11199573298851452,0.027823071692475415,-0.0841726612960391
centralized,42,bearing,pooled,cnn-ae,K006,fuzzy_warning_as_alarm_hi50,0.0050916496945010185,0.08333333333333333,0.9974437627811861,0.010040160642570281,0.11199573298851452,0.027823071692475415,-0.0841726612960391
centralized,42,bearing,pooled,cnn-ae,K006,fuzzy_fault_only_hi75,0.001021972406745018,0.0,0.9994887525562373,0.010040160642570281,0.11199573298851452,0.027823071692475415,-0.0841726612960391
fedavg,42,bearing,client_specific,cnn-ae,K001,hard_val_p95,0.03510531594784353,0.08333333333333333,0.9821063394683026,0.02359437751004016,0.11808374844760951,0.0521791156621913,-0.06590463278541821
fedavg,42,bearing,client_specific,cnn-ae,K001,fuzzy_warning_as_alarm_hi50,0.03510531594784353,0.08333333333333333,0.9821063394683026,0.02359437751004016,0.11808374844760951,0.0521791156621913,-0.06590463278541821
fedavg,42,bearing,client_specific,cnn-ae,K001,fuzzy_fault_only_hi75,0.021222839818089943,0.05555555555555555,0.9892638036809815,0.02359437751004016,0.11808374844760951,0.0521791156621913,-0.06590463278541821
fedavg,42,bearing,pooled,cnn-ae,K001,hard_val_p95,0.06231454005934718,0.08333333333333333,0.9677914110429447,0.03162650602409638,0.14354105233910108,0.07864962970933877,-0.06489142262976232
fedavg,42,bearing,pooled,cnn-ae,K001,fuzzy_warning_as_alarm_hi50,0.06231454005934718,0.08333333333333333,0.9677914110429447,0.03162650602409638,0.14354105233910108,0.07864962970933877,-0.06489142262976232
fedavg,42,bearing,pooled,cnn-ae,K001,fuzzy_fault_only_hi75,0.0291897332662305,0.05555555555555555,0.9851738241308794,0.03162650602409638,0.14354105233910108,0.07864962970933877,-0.06489142262976232
fedavg,42,bearing,client_specific,cnn-ae,K002,hard_val_p95,0.10719459198454853,0.1111111111111111,0.9432515337423313,0.03263052208835342,0.17188030113130381,0.102674310501079,-0.06920599063022481
fedavg,42,bearing,client_specific,cnn-ae,K002,fuzzy_warning_as_alarm_hi50,0.10719459198454853,0.1111111111111111,0.9432515337423313,0.03263052208835342,0.17188030113130381,0.102674310501079,-0.06920599063022481
fedavg,42,bearing,client_specific,cnn-ae,K002,fuzzy_fault_only_hi75,0.08971233544612384,0.08333333333333333,0.9529652351738241,0.03263052208835342,0.17188030113130381,0.102674310501079,-0.06920599063022481
